Date,Market,Market Size,Product,Product Id,Product Type,State,Type,Budget Profit,Budget Sales,Cogs,Number of Records,Profit,Profit Ratio,Sales,Total Expenses
1/1/2010 12:00:00 AM,Central,Major Market,Chamomile,8,Herbal Tea,Illinois,Decaf,100,190,89,1,95,43.4%,219,35
1/1/2010 12:00:00 AM,Central,Major Market,Lemon,9,Herbal Tea,Illinois,Decaf,60,160,83,1,68,35.8%,190,39
1/1/2010 12:00:00 AM,Central,Major Market,Mint,10,Herbal Tea,Illinois,Decaf,100,200,95,1,101,43.2%,234,38
1/1/2010 12:00:00 AM,Central,Major Market,Darjeeling,11,Tea,Illinois,Regular,50,110,54,1,53,39.6%,134,27
1/1/2010 12:00:00 AM,Central,Major Market,Earl Grey,12,Tea,Illinois,Regular,40,150,72,1,54,30.0%,180,54
1/1/2010 12:00:00 AM,Central,Small Market,Amaretto,1,Coffee,Iowa,Regular,20,40,18,1,11,24.4%,45,16
1/1/2010 12:00:00 AM,Central,Small Market,Columbian,2,Coffee,Iowa,Regular,20,60,28,1,5,8.1%,62,29
1/1/2010 12:00:00 AM,Central,Small Market,Decaf Irish Cream,3,Coffee,Iowa,Decaf,20,50,23,1,12,22.2%,54,19
1/1/2010 12:00:00 AM,Central,Small Market,Caffe Mocha,5,Espresso,Iowa,Regular,30,50,17,1,11,25.6%,43,15
1/1/2010 12:00:00 AM,Central,Small Market,Decaf Espresso,6,Espresso,Iowa,Decaf,30,50,17,1,10,23.3%,43,16
1/1/2010 12:00:00 AM,Central,Small Market,Chamomile,8,Herbal Tea,Iowa,Decaf,200,480,234,1,202,37.0%,546,110
1/1/2010 12:00:00 AM,Central,Small Market,Lemon,9,Herbal Tea,Iowa,Decaf,90,200,95,1,86,36.8%,234,53
1/1/2010 12:00:00 AM,Central,Small Market,Darjeeling,11,Tea,Iowa,Regular,140,400,228,1,141,30.9%,456,87
1/1/2010 12:00:00 AM,Central,Small Market,Earl Grey,12,Tea,Iowa,Regular,160,480,245,1,175,32.1%,546,126
1/1/2010 12:00:00 AM,Central,Small Market,Columbian,2,Coffee,Missouri,Regular,40,190,85,1,39,20.5%,190,66
1/1/2010 12:00:00 AM,Central,Small Market,Decaf Irish Cream,3,Coffee,Missouri,Decaf,50,170,78,1,47,27.6%,170,45
1/1/2010 12:00:00 AM,Central,Small Market,Green Tea,13,Tea,Missouri,Regular,0,60,34,1,-4,-5.3%,76,46
1/1/2010 12:00:00 AM,Central,Small Market,Caffe Mocha,5,Espresso,Missouri,Regular,70,140,50,1,48,39.0%,123,25
1/1/2010 12:00:00 AM,Central,Small Market,Decaf Espresso,6,Espresso,Missouri,Decaf,60,130,46,1,45,39.5%,114,23
1/1/2010 12:00:00 AM,Central,Small Market,Chamomile,8,Herbal Tea,Missouri,Decaf,0,70,37,1,-11,-12.2%,90,64
1/1/2010 12:00:00 AM,Central,Small Market,Lemon,9,Herbal Tea,Missouri,Decaf,-20,80,88,1,-39,-39.4%,99,50
1/1/2010 12:00:00 AM,Central,Small Market,Darjeeling,11,Tea,Missouri,Regular,10,70,35,1,9,11.0%,82,38
1/1/2010 12:00:00 AM,Central,Small Market,Earl Grey,12,Tea,Missouri,Regular,-10,50,29,1,-9,-13.8%,65,45
1/1/2010 12:00:00 AM,Central,Major Market,Amaretto,1,Coffee,Ohio,Regular,50,140,60,1,34,24.3%,140,46
1/1/2010 12:00:00 AM,Central,Major Market,Columbian,2,Coffee,Ohio,Regular,50,140,57,1,42,30.0%,140,41
1/1/2010 12:00:00 AM,Central,Major Market,Decaf Irish Cream,3,Coffee,Ohio,Decaf,20,150,63,1,0,0.0%,150,87
1/1/2010 12:00:00 AM,Central,Major Market,Earl Grey,12,Tea,Ohio,Regular,60,170,84,1,67,33.5%,200,49
1/1/2010 12:00:00 AM,Central,Major Market,Decaf Espresso,6,Espresso,Ohio,Decaf,40,150,58,1,16,12.3%,130,56
1/1/2010 12:00:00 AM,Central,Major Market,Caffe Mocha,5,Espresso,Ohio,Regular,140,400,170,1,99,29.0%,341,72
1/1/2010 12:00:00 AM,Central,Major Market,Chamomile,8,Herbal Tea,Ohio,Decaf,50,70,32,1,29,36.3%,80,19
1/1/2010 12:00:00 AM,Central,Major Market,Lemon,9,Herbal Tea,Ohio,Decaf,50,70,32,1,29,36.3%,80,19
1/1/2010 12:00:00 AM,Central,Major Market,Darjeeling,11,Tea,Ohio,Regular,60,180,84,1,68,32.4%,210,58
1/1/2010 12:00:00 AM,Central,Small Market,Amaretto,1,Coffee,Wisconsin,Regular,30,120,54,1,13,10.8%,120,53
1/1/2010 12:00:00 AM,Central,Small Market,Columbian,2,Coffee,Wisconsin,Regular,20,190,79,1,9,4.7%,190,102
1/1/2010 12:00:00 AM,Central,Small Market,Decaf Irish Cream,3,Coffee,Wisconsin,Decaf,60,180,77,1,51,28.3%,180,52
1/1/2010 12:00:00 AM,Central,Small Market,Earl Grey,12,Tea,Wisconsin,Regular,10,150,75,1,7,3.9%,180,98
1/1/2010 12:00:00 AM,Central,Small Market,Decaf Espresso,6,Espresso,Wisconsin,Decaf,50,120,48,1,34,30.9%,110,28
1/1/2010 12:00:00 AM,Central,Small Market,Caffe Mocha,5,Espresso,Wisconsin,Regular,50,170,69,1,38,25.3%,150,43
1/1/2010 12:00:00 AM,Central,Small Market,Chamomile,8,Herbal Tea,Wisconsin,Decaf,80,150,67,1,70,38.9%,180,43
1/1/2010 12:00:00 AM,Central,Small Market,Lemon,9,Herbal Tea,Wisconsin,Decaf,50,70,33,1,28,34.6%,81,20
1/1/2010 12:00:00 AM,Central,Small Market,Darjeeling,11,Tea,Wisconsin,Regular,50,130,61,1,47,31.3%,150,42
1/1/2010 12:00:00 AM,East,Small Market,Darjeeling,11,Tea,Connecticut,Regular,60,130,50,1,47,38.2%,123,26
1/1/2010 12:00:00 AM,East,Small Market,Green Tea,13,Tea,Connecticut,Regular,40,100,38,1,35,37.2%,94,21
1/1/2010 12:00:00 AM,East,Small Market,Decaf Espresso,6,Espresso,Connecticut,Decaf,40,120,55,1,30,23.1%,130,45
1/1/2010 12:00:00 AM,East,Small Market,Caffe Mocha,5,Espresso,Connecticut,Regular,20,170,75,1,7,3.9%,180,98
1/1/2010 12:00:00 AM,East,Small Market,Columbian,2,Coffee,Connecticut,Regular,130,290,124,1,115,37.1%,310,71
1/1/2010 12:00:00 AM,East,Small Market,Lemon,9,Herbal Tea,Connecticut,Decaf,40,140,85,1,40,21.1%,190,65
1/1/2010 12:00:00 AM,East,Small Market,Mint,10,Herbal Tea,Connecticut,Decaf,50,130,78,1,47,27.6%,170,45
1/1/2010 12:00:00 AM,East,Major Market,Darjeeling,11,Tea,Florida,Regular,40,80,32,1,28,35.0%,80,20
1/1/2010 12:00:00 AM,East,Major Market,Green Tea,13,Tea,Florida,Regular,40,80,33,1,28,34.6%,81,20
1/1/2010 12:00:00 AM,East,Major Market,Decaf Espresso,6,Espresso,Florida,Decaf,60,170,77,1,50,27.8%,180,53
1/1/2010 12:00:00 AM,East,Major Market,Caffe Mocha,5,Espresso,Florida,Regular,30,180,79,1,9,4.7%,190,102
1/1/2010 12:00:00 AM,East,Major Market,Decaf Irish Cream,3,Coffee,Florida,Decaf,70,190,84,1,67,33.5%,200,49
1/1/2010 12:00:00 AM,East,Major Market,Columbian,2,Coffee,Florida,Regular,70,190,84,1,68,32.4%,210,58
1/1/2010 12:00:00 AM,East,Major Market,Chamomile,8,Herbal Tea,Florida,Decaf,30,80,48,1,34,30.9%,110,28
1/1/2010 12:00:00 AM,East,Major Market,Lemon,9,Herbal Tea,Florida,Decaf,20,90,54,1,13,10.8%,120,53
1/1/2010 12:00:00 AM,East,Major Market,Mint,10,Herbal Tea,Florida,Decaf,40,110,69,1,39,26.0%,150,42
1/1/2010 12:00:00 AM,East,Major Market,Darjeeling,11,Tea,Massachusetts,Regular,40,80,32,1,29,36.3%,80,19
1/1/2010 12:00:00 AM,East,Major Market,Green Tea,13,Tea,Massachusetts,Regular,40,80,32,1,29,36.3%,80,19
1/1/2010 12:00:00 AM,East,Major Market,Regular Espresso,7,Espresso,Massachusetts,Regular,110,330,170,1,100,29.3%,341,71
1/1/2010 12:00:00 AM,East,Major Market,Caffe Mocha,5,Espresso,Massachusetts,Regular,-10,120,63,1,-23,-18.3%,126,86
1/1/2010 12:00:00 AM,East,Major Market,Columbian,2,Coffee,Massachusetts,Regular,360,460,72,1,367,74.3%,494,55
1/1/2010 12:00:00 AM,East,Major Market,Lemon,9,Herbal Tea,Massachusetts,Decaf,30,100,58,1,17,13.1%,130,55
1/1/2010 12:00:00 AM,East,Small Market,Darjeeling,11,Tea,New Hampshire,Regular,20,40,18,1,10,22.2%,45,17
1/1/2010 12:00:00 AM,East,Small Market,Green Tea,13,Tea,New Hampshire,Regular,20,40,17,1,11,25.6%,43,15
1/1/2010 12:00:00 AM,East,Small Market,Regular Espresso,7,Espresso,New Hampshire,Regular,0,60,29,1,-8,-12.3%,65,44
1/1/2010 12:00:00 AM,East,Small Market,Caffe Mocha,5,Espresso,New Hampshire,Regular,0,80,37,1,-10,-11.1%,90,63
1/1/2010 12:00:00 AM,East,Small Market,Amaretto,1,Coffee,New Hampshire,Regular,30,80,38,1,20,21.5%,93,35
1/1/2010 12:00:00 AM,East,Small Market,Columbian,2,Coffee,New Hampshire,Regular,40,110,48,1,25,20.8%,120,47
1/1/2010 12:00:00 AM,East,Small Market,Lemon,9,Herbal Tea,New Hampshire,Decaf,0,50,34,1,-4,-5.3%,76,46
1/1/2010 12:00:00 AM,East,Major Market,Darjeeling,11,Tea,New York,Regular,120,250,95,1,101,43.2%,234,38
1/1/2010 12:00:00 AM,East,Major Market,Earl Grey,12,Tea,New York,Regular,110,230,89,1,94,42.9%,219,36
1/1/2010 12:00:00 AM,East,Major Market,Green Tea,13,Tea,New York,Regular,70,140,54,1,54,40.3%,134,26
1/1/2010 12:00:00 AM,East,Major Market,Regular Espresso,7,Espresso,New York,Regular,200,480,228,1,175,35.7%,490,87
1/1/2010 12:00:00 AM,East,Major Market,Caffe Mocha,5,Espresso,New York,Regular,-170,50,105,1,-172,-282.0%,61,128
1/1/2010 12:00:00 AM,East,Major Market,Columbian,2,Coffee,New York,Regular,260,640,271,1,262,38.6%,678,145
1/1/2010 12:00:00 AM,East,Major Market,Lemon,9,Herbal Tea,New York,Decaf,100,370,245,1,111,23.0%,483,127
1/1/2010 12:00:00 AM,East,Major Market,Mint,10,Herbal Tea,New York,Decaf,-70,140,207,1,-113,-62.8%,180,86
1/1/2010 12:00:00 AM,South,Small Market,Caffe Mocha,5,Espresso,Louisiana,Regular,80,150,67,1,70,38.9%,180,43
1/1/2010 12:00:00 AM,South,Small Market,Decaf Espresso,6,Espresso,Louisiana,Decaf,50,120,61,1,48,32.0%,150,41
1/1/2010 12:00:00 AM,South,Small Market,Chamomile,8,Herbal Tea,Louisiana,Decaf,40,100,49,1,35,31.3%,112,28
1/1/2010 12:00:00 AM,South,Small Market,Lemon,9,Herbal Tea,Louisiana,Decaf,40,180,85,1,40,21.1%,190,65
1/1/2010 12:00:00 AM,South,Small Market,Caffe Latte,4,Espresso,Louisiana,Regular,10,150,75,1,8,4.4%,180,97
1/1/2010 12:00:00 AM,South,Small Market,Columbian,2,Coffee,Louisiana,Regular,50,100,34,1,30,35.3%,85,21
1/1/2010 12:00:00 AM,South,Small Market,Decaf Irish Cream,3,Coffee,Louisiana,Decaf,50,100,33,1,28,34.6%,81,20
1/1/2010 12:00:00 AM,South,Small Market,Caffe Mocha,5,Espresso,New Mexico,Regular,-10,70,37,1,-10,-11.1%,90,63
1/1/2010 12:00:00 AM,South,Small Market,Decaf Espresso,6,Espresso,New Mexico,Decaf,10,70,35,1,9,11.0%,82,38
1/1/2010 12:00:00 AM,South,Small Market,Chamomile,8,Herbal Tea,New Mexico,Decaf,20,40,18,1,11,24.4%,45,16
1/1/2010 12:00:00 AM,South,Small Market,Lemon,9,Herbal Tea,New Mexico,Decaf,20,60,28,1,4,6.5%,62,30
1/1/2010 12:00:00 AM,South,Small Market,Caffe Latte,4,Espresso,New Mexico,Regular,0,50,29,1,-8,-12.3%,65,44
1/1/2010 12:00:00 AM,South,Small Market,Columbian,2,Coffee,New Mexico,Regular,50,150,48,1,26,21.7%,120,46
1/1/2010 12:00:00 AM,South,Small Market,Decaf Irish Cream,3,Coffee,New Mexico,Decaf,-30,120,88,1,-39,-39.4%,99,50
1/1/2010 12:00:00 AM,South,Small Market,Caffe Mocha,5,Espresso,Oklahoma,Regular,40,60,32,1,28,35.0%,80,20
1/1/2010 12:00:00 AM,South,Small Market,Decaf Espresso,6,Espresso,Oklahoma,Decaf,70,180,84,1,67,31.9%,210,59
1/1/2010 12:00:00 AM,South,Small Market,Chamomile,8,Herbal Tea,Oklahoma,Decaf,20,110,54,1,13,10.8%,120,53
1/1/2010 12:00:00 AM,South,Small Market,Lemon,9,Herbal Tea,Oklahoma,Decaf,30,180,79,1,10,5.3%,190,101
1/1/2010 12:00:00 AM,South,Small Market,Caffe Latte,4,Espresso,Oklahoma,Regular,70,170,84,1,66,33.0%,200,50
1/1/2010 12:00:00 AM,South,Small Market,Columbian,2,Coffee,Oklahoma,Regular,50,120,44,1,29,29.0%,100,27
1/1/2010 12:00:00 AM,South,Small Market,Decaf Irish Cream,3,Coffee,Oklahoma,Decaf,50,100,32,1,28,35.0%,80,20
1/1/2010 12:00:00 AM,South,Major Market,Caffe Mocha,5,Espresso,Texas,Regular,90,180,89,1,95,43.4%,219,35
1/1/2010 12:00:00 AM,South,Major Market,Decaf Espresso,6,Espresso,Texas,Decaf,60,110,54,1,54,40.3%,134,26
1/1/2010 12:00:00 AM,South,Major Market,Chamomile,8,Herbal Tea,Texas,Decaf,50,130,60,1,33,23.6%,140,47
1/1/2010 12:00:00 AM,South,Major Market,Lemon,9,Herbal Tea,Texas,Decaf,50,130,57,1,42,30.0%,140,41
1/1/2010 12:00:00 AM,South,Major Market,Caffe Latte,4,Espresso,Texas,Regular,50,150,72,1,53,29.4%,180,55
1/1/2010 12:00:00 AM,South,Major Market,Columbian,2,Coffee,Texas,Regular,220,560,207,1,159,35.2%,452,86
1/1/2010 12:00:00 AM,South,Major Market,Decaf Irish Cream,3,Coffee,Texas,Decaf,100,230,83,1,68,35.8%,190,39
1/1/2010 12:00:00 AM,West,Small Market,Caffe Latte,4,Espresso,Utah,Regular,40,100,46,1,44,38.6%,114,24
1/1/2010 12:00:00 AM,West,Small Market,Caffe Mocha,5,Espresso,Utah,Regular,40,100,49,1,34,30.4%,112,29
1/1/2010 12:00:00 AM,West,Small Market,Decaf Espresso,6,Espresso,Utah,Decaf,50,110,50,1,47,38.2%,123,26
1/1/2010 12:00:00 AM,West,Small Market,Chamomile,8,Herbal Tea,Utah,Decaf,30,80,38,1,21,22.6%,93,34
1/1/2010 12:00:00 AM,West,Small Market,Lemon,9,Herbal Tea,Utah,Decaf,30,100,48,1,25,20.8%,120,47
1/1/2010 12:00:00 AM,West,Small Market,Mint,10,Herbal Tea,Utah,Decaf,-30,80,88,1,-40,-40.4%,99,51
1/1/2010 12:00:00 AM,West,Small Market,Darjeeling,11,Tea,Utah,Regular,0,60,37,1,-10,-11.1%,90,63
1/1/2010 12:00:00 AM,West,Small Market,Earl Grey,12,Tea,Utah,Regular,10,50,35,1,9,11.0%,82,38
1/1/2010 12:00:00 AM,West,Small Market,Green Tea,13,Tea,Utah,Regular,10,40,29,1,-9,-13.8%,65,45
1/1/2010 12:00:00 AM,West,Small Market,Amaretto,1,Coffee,Utah,Regular,80,210,78,1,47,27.6%,170,45
1/1/2010 12:00:00 AM,West,Small Market,Columbian,2,Coffee,Utah,Regular,70,160,55,1,30,23.1%,130,45
1/1/2010 12:00:00 AM,West,Small Market,Decaf Irish Cream,3,Coffee,Utah,Decaf,70,230,85,1,39,20.5%,190,66
1/1/2010 12:00:00 AM,West,Major Market,Caffe Latte,4,Espresso,California,Regular,150,430,228,1,140,30.7%,456,88
1/1/2010 12:00:00 AM,West,Major Market,Caffe Mocha,5,Espresso,California,Regular,20,240,105,1,17,6.8%,250,128
1/1/2010 12:00:00 AM,West,Major Market,Decaf Espresso,6,Espresso,California,Decaf,200,520,234,1,203,37.2%,546,109
1/1/2010 12:00:00 AM,West,Major Market,Chamomile,8,Herbal Tea,California,Decaf,100,200,95,1,102,43.6%,234,37
1/1/2010 12:00:00 AM,West,Major Market,Lemon,9,Herbal Tea,California,Decaf,160,390,207,1,160,35.4%,452,85
1/1/2010 12:00:00 AM,West,Major Market,Mint,10,Herbal Tea,California,Decaf,60,160,83,1,67,35.3%,190,40
1/1/2010 12:00:00 AM,West,Major Market,Darjeeling,11,Tea,California,Regular,80,140,89,1,94,42.9%,219,36
1/1/2010 12:00:00 AM,West,Major Market,Earl Grey,12,Tea,California,Regular,60,90,54,1,54,40.3%,134,26
1/1/2010 12:00:00 AM,West,Major Market,Green Tea,13,Tea,California,Regular,50,120,72,1,54,30.0%,180,54
1/1/2010 12:00:00 AM,West,Major Market,Amaretto,1,Coffee,California,Regular,30,180,95,1,-2,-1.4%,145,52
1/1/2010 12:00:00 AM,West,Major Market,Columbian,2,Coffee,California,Regular,370,840,271,1,262,38.6%,678,145
1/1/2010 12:00:00 AM,West,Major Market,Decaf Irish Cream,3,Coffee,California,Decaf,-120,140,144,1,-117,-99.2%,118,91
1/1/2010 12:00:00 AM,West,Small Market,Caffe Latte,4,Espresso,Nevada,Regular,20,40,17,1,11,25.6%,43,15
1/1/2010 12:00:00 AM,West,Small Market,Caffe Mocha,5,Espresso,Nevada,Regular,20,40,18,1,10,22.2%,45,17
1/1/2010 12:00:00 AM,West,Small Market,Decaf Espresso,6,Espresso,Nevada,Decaf,20,40,17,1,11,25.6%,43,15
1/1/2010 12:00:00 AM,West,Small Market,Decaf Irish Cream,3,Coffee,Nevada,Decaf,20,70,28,1,4,6.5%,62,30
1/1/2010 12:00:00 AM,West,Small Market,Chamomile,8,Herbal Tea,Nevada,Decaf,30,220,105,1,16,6.4%,250,129
1/1/2010 12:00:00 AM,West,Small Market,Lemon,9,Herbal Tea,Nevada,Decaf,120,300,144,1,111,32.2%,345,90
1/1/2010 12:00:00 AM,West,Small Market,Mint,10,Herbal Tea,Nevada,Decaf,90,200,95,1,86,36.8%,234,53
1/1/2010 12:00:00 AM,West,Small Market,Darjeeling,11,Tea,Nevada,Regular,150,370,234,1,203,37.2%,546,109
1/1/2010 12:00:00 AM,West,Small Market,Earl Grey,12,Tea,Nevada,Regular,100,310,228,1,141,30.9%,456,87
1/1/2010 12:00:00 AM,West,Small Market,Green Tea,13,Tea,Nevada,Regular,-240,0,245,1,-354,-2082.4%,17,126
1/1/2010 12:00:00 AM,West,Small Market,Columbian,2,Coffee,Nevada,Regular,10,90,34,1,-3,-3.9%,76,45
1/1/2010 12:00:00 AM,West,Small Market,Caffe Latte,4,Espresso,Oregon,Regular,20,120,58,1,16,12.3%,130,56
1/1/2010 12:00:00 AM,West,Small Market,Caffe Mocha,5,Espresso,Oregon,Regular,50,130,60,1,33,23.6%,140,47
1/1/2010 12:00:00 AM,West,Small Market,Decaf Espresso,6,Espresso,Oregon,Decaf,100,320,170,1,99,29.0%,341,72
1/1/2010 12:00:00 AM,West,Small Market,Decaf Irish Cream,3,Coffee,Oregon,Decaf,70,170,57,1,42,30.0%,140,41
1/1/2010 12:00:00 AM,West,Small Market,Chamomile,8,Herbal Tea,Oregon,Decaf,40,70,36,1,33,36.7%,90,21
1/1/2010 12:00:00 AM,West,Small Market,Lemon,9,Herbal Tea,Oregon,Decaf,30,80,44,1,29,29.0%,100,27
1/1/2010 12:00:00 AM,West,Small Market,Darjeeling,11,Tea,Oregon,Regular,30,50,32,1,28,35.0%,80,20
1/1/2010 12:00:00 AM,West,Small Market,Earl Grey,12,Tea,Oregon,Regular,60,140,84,1,68,32.4%,210,58
1/1/2010 12:00:00 AM,West,Small Market,Green Tea,13,Tea,Oregon,Regular,50,130,84,1,67,33.5%,200,49
1/1/2010 12:00:00 AM,West,Small Market,Amaretto,1,Coffee,Oregon,Regular,40,180,63,1,1,0.7%,150,86
1/1/2010 12:00:00 AM,West,Small Market,Columbian,2,Coffee,Oregon,Regular,60,200,67,1,28,17.5%,160,65
1/1/2010 12:00:00 AM,West,Small Market,Caffe Latte,4,Espresso,Washington,Regular,40,100,48,1,35,31.8%,110,27
1/1/2010 12:00:00 AM,West,Small Market,Caffe Mocha,5,Espresso,Washington,Regular,20,110,54,1,13,10.8%,120,53
1/1/2010 12:00:00 AM,West,Small Market,Decaf Espresso,6,Espresso,Washington,Decaf,60,140,69,1,39,26.0%,150,42
1/1/2010 12:00:00 AM,West,Small Market,Decaf Irish Cream,3,Coffee,Washington,Decaf,60,230,79,1,9,4.7%,190,102
1/1/2010 12:00:00 AM,West,Small Market,Chamomile,8,Herbal Tea,Washington,Decaf,120,270,124,1,115,37.1%,310,71
1/1/2010 12:00:00 AM,West,Small Market,Lemon,9,Herbal Tea,Washington,Decaf,50,70,34,1,30,35.3%,85,21
1/1/2010 12:00:00 AM,West,Small Market,Darjeeling,11,Tea,Washington,Regular,50,120,67,1,70,38.9%,180,43
1/1/2010 12:00:00 AM,West,Small Market,Earl Grey,12,Tea,Washington,Regular,40,100,61,1,48,32.0%,150,41
1/1/2010 12:00:00 AM,West,Small Market,Green Tea,13,Tea,Washington,Regular,20,120,75,1,8,4.4%,180,97
1/1/2010 12:00:00 AM,West,Small Market,Columbian,2,Coffee,Washington,Regular,70,160,53,1,38,29.2%,130,39
2/1/2010 12:00:00 AM,Central,Major Market,Amaretto,1,Coffee,Colorado,Regular,120,250,99,1,105,43.2%,243,39
2/1/2010 12:00:00 AM,Central,Major Market,Columbian,2,Coffee,Colorado,Regular,80,190,83,1,68,35.8%,190,39
2/1/2010 12:00:00 AM,Central,Major Market,Decaf Irish Cream,3,Coffee,Colorado,Decaf,110,240,95,1,99,42.7%,232,38
2/1/2010 12:00:00 AM,Central,Major Market,Green Tea,13,Tea,Colorado,Regular,30,80,44,1,30,30.0%,100,26
2/1/2010 12:00:00 AM,Central,Major Market,Caffe Mocha,5,Espresso,Colorado,Regular,110,220,77,1,80,42.3%,189,32
2/1/2010 12:00:00 AM,Central,Major Market,Decaf Espresso,6,Espresso,Colorado,Decaf,90,220,75,1,59,31.2%,189,55
2/1/2010 12:00:00 AM,Central,Major Market,Chamomile,8,Herbal Tea,Colorado,Decaf,100,290,170,1,99,29.1%,340,71
2/1/2010 12:00:00 AM,Central,Major Market,Lemon,9,Herbal Tea,Colorado,Decaf,10,110,54,1,-3,-2.3%,129,78
2/1/2010 12:00:00 AM,Central,Major Market,Mint,10,Herbal Tea,Colorado,Decaf,40,120,60,1,33,23.6%,140,47
2/1/2010 12:00:00 AM,Central,Major Market,Darjeeling,11,Tea,Colorado,Regular,10,110,59,1,18,13.6%,132,55
2/1/2010 12:00:00 AM,Central,Major Market,Earl Grey,12,Tea,Colorado,Regular,30,110,62,1,34,25.0%,136,40
2/1/2010 12:00:00 AM,Central,Major Market,Columbian,2,Coffee,Illinois,Regular,140,370,148,1,115,32.5%,354,91
2/1/2010 12:00:00 AM,Central,Major Market,Decaf Irish Cream,3,Coffee,Illinois,Decaf,100,260,104,1,95,37.4%,254,55
2/1/2010 12:00:00 AM,Central,Major Market,Caffe Mocha,5,Espresso,Illinois,Regular,260,640,234,1,201,36.9%,545,110
2/1/2010 12:00:00 AM,Central,Major Market,Decaf Espresso,6,Espresso,Illinois,Decaf,180,530,228,1,142,31.1%,457,87
2/1/2010 12:00:00 AM,Central,Major Market,Chamomile,8,Herbal Tea,Illinois,Decaf,110,210,99,1,105,43.2%,243,39
2/1/2010 12:00:00 AM,Central,Major Market,Lemon,9,Herbal Tea,Illinois,Decaf,60,160,83,1,68,35.8%,190,39
2/1/2010 12:00:00 AM,Central,Major Market,Mint,10,Herbal Tea,Illinois,Decaf,100,200,95,1,99,42.7%,232,38
2/1/2010 12:00:00 AM,Central,Major Market,Darjeeling,11,Tea,Illinois,Regular,80,160,77,1,79,41.8%,189,33
2/1/2010 12:00:00 AM,Central,Major Market,Earl Grey,12,Tea,Illinois,Regular,50,160,75,1,59,31.2%,189,55
2/1/2010 12:00:00 AM,Central,Small Market,Amaretto,1,Coffee,Iowa,Regular,20,40,18,1,10,22.2%,45,17
2/1/2010 12:00:00 AM,Central,Small Market,Columbian,2,Coffee,Iowa,Regular,20,60,28,1,6,9.5%,63,29
2/1/2010 12:00:00 AM,Central,Small Market,Decaf Irish Cream,3,Coffee,Iowa,Decaf,20,50,23,1,12,22.2%,54,19
2/1/2010 12:00:00 AM,Central,Small Market,Caffe Mocha,5,Espresso,Iowa,Regular,20,50,19,1,11,23.4%,47,17
2/1/2010 12:00:00 AM,Central,Small Market,Decaf Espresso,6,Espresso,Iowa,Decaf,40,50,0,1,32,74.4%,43,11
2/1/2010 12:00:00 AM,Central,Small Market,Chamomile,8,Herbal Tea,Iowa,Decaf,190,470,234,1,201,36.9%,545,110
2/1/2010 12:00:00 AM,Central,Small Market,Lemon,9,Herbal Tea,Iowa,Decaf,110,220,104,1,95,37.4%,254,55
2/1/2010 12:00:00 AM,Central,Small Market,Darjeeling,11,Tea,Iowa,Regular,140,400,228,1,141,30.9%,457,88
2/1/2010 12:00:00 AM,Central,Small Market,Earl Grey,12,Tea,Iowa,Regular,150,460,240,1,169,31.6%,534,125
2/1/2010 12:00:00 AM,Central,Small Market,Columbian,2,Coffee,Missouri,Regular,50,200,86,1,42,21.8%,193,65
